127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001534
127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000761
127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000703
127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.005489
127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001515
127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001182
127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000725
127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001828
127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000711
127.0.0.1, 2018-04-19 22:05:23, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.116689
127.0.0.1, 2018-04-19 22:05:23, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000730
127.0.0.1, 2018-04-19 22:05:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000418
127.0.0.1, 2018-04-19 22:25:58, GET, /start, HTTP/1.1, 200, 0.044968
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.007536
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000753
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000568
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000885
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000765
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002072
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001768
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001158
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.008461
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001714
127.0.0.1, 2018-04-19 22:25:58, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000722
127.0.0.1, 2018-04-19 22:25:59, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000751
127.0.0.1, 2018-04-19 22:25:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000471
127.0.0.1, 2018-04-19 22:38:45, GET, /, HTTP/1.1, 303, 0.010210
127.0.0.1, 2018-04-19 22:38:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.217785
127.0.0.1, 2018-04-19 22:38:55, GET, /admin/default/site, HTTP/1.1, 200, 0.213746
127.0.0.1, 2018-04-19 22:38:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000448
127.0.0.1, 2018-04-19 22:38:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.028006
127.0.0.1, 2018-04-19 22:39:05, GET, /admin/default/site, HTTP/1.1, 200, 0.004267
127.0.0.1, 2018-04-19 22:39:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2018-04-19 22:39:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.026259
127.0.0.1, 2018-04-19 22:39:32, GET, /, HTTP/1.1, 303, 0.000707
127.0.0.1, 2018-04-19 22:39:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.055188
127.0.0.1, 2018-04-19 22:39:34, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000509
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 303, 0.014076
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/default/index, HTTP/1.1, 200, 0.051232
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.001311
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.002309
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.000985
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002644
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001800
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001203
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002050
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.048360
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000909
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001005
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.026101
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000761
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000962
127.0.0.1, 2018-04-19 22:39:41, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.000723
127.0.0.1, 2018-04-19 22:39:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
127.0.0.1, 2018-04-19 22:39:44, POST, /admin/default/index, HTTP/1.1, 303, 0.018194
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.046419
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001664
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000743
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.007839
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001190
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.018119
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000992
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001764
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001347
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001525
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000881
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.011954
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002269
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003084
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001739
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003469
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.012076
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000651
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001409
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000904
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000852
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000728
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001460
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002856
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001230
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.005755
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002609
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.003565
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001572
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001569
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.058535
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000893
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001197
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.002221
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.003062
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.044454
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.001415
127.0.0.1, 2018-04-19 22:39:44, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000996
127.0.0.1, 2018-04-19 22:39:45, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.026217
127.0.0.1, 2018-04-19 22:39:45, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.068415
127.0.0.1, 2018-04-19 22:39:45, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.123314
127.0.0.1, 2018-04-19 22:39:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.157508
127.0.0.1, 2018-04-19 22:39:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
127.0.0.1, 2018-04-19 22:39:45, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.051381
127.0.0.1, 2018-04-19 22:39:45, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.367199
127.0.0.1, 2018-04-19 22:39:45, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.484043
127.0.0.1, 2018-04-19 22:39:52, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.013629
127.0.0.1, 2018-04-19 22:39:54, GET, /admin/default/edit/welcome/models/menu.py, HTTP/1.1, 200, 0.013737
127.0.0.1, 2018-04-19 22:39:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.018466
127.0.0.1, 2018-04-19 22:40:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.121942
127.0.0.1, 2018-04-19 22:40:48, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 2.782963
127.0.0.1, 2018-04-19 22:41:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.076568
127.0.0.1, 2018-04-19 22:41:49, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 3.725061
127.0.0.1, 2018-04-19 22:42:06, GET, /admin/default/index, HTTP/1.1, 303, 0.007044
127.0.0.1, 2018-04-19 22:42:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000374
127.0.0.1, 2018-04-19 22:42:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.994198
127.0.0.1, 2018-04-19 22:42:11, GET, /admin/default/site, HTTP/1.1, 200, 0.245954
127.0.0.1, 2018-04-19 22:42:11, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.003613
127.0.0.1, 2018-04-19 22:42:11, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.002896
127.0.0.1, 2018-04-19 22:42:11, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001611
127.0.0.1, 2018-04-19 22:42:12, POST, /admin/default/check_version, HTTP/1.1, 200, 0.912463
127.0.0.1, 2018-04-19 22:42:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000426
127.0.0.1, 2018-04-19 22:42:15, GET, /admin/default/index, HTTP/1.1, 303, 0.006375
127.0.0.1, 2018-04-19 22:42:15, GET, /admin/default/site, HTTP/1.1, 200, 0.047424
127.0.0.1, 2018-04-19 22:42:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000483
127.0.0.1, 2018-04-19 22:42:17, GET, /admin/default/site, HTTP/1.1, 200, 0.047443
